ADDRESS,COL01,COL02,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
"100011002","01","1","5220","5237","3",1.5000000000000000e+05,1.8000000000000000e+06,1.5000000000000000e+05,1.8000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+05,1.8000000000000000e+06
"100011004","01","1","2320","8021","1",1.2000000000000000e+06,1.5000000000000000e+07,1.0550000000000000e+06,1.2660000000000000e+07,0.0000000000000000e+00,5.6250000000000000e+05,1.0550000000000000e+06,1.3222500000000000e+07
"100011004","02","1","2331","8010","1",1.0600000000000000e+06,1.3320000000000000e+07,9.5000000000000000e+05,1.1400000000000000e+07,0.0000000000000000e+00,5.6250000000000000e+05,9.5000000000000000e+05,1.1962500000000000e+07
"100011005","01","1","4113","2924","1",9.9371000000000000e+05,1.4424520000000000e+07,8.6251000000000000e+05,1.0350120000000000e+07,0.0000000000000000e+00,2.3500000000000000e+06,8.6251000000000000e+05,1.2700120000000000e+07
"100011007","04","1","7231","5020","3",2.0000000000000000e+05,2.5000000000000000e+06,2.0000000000000000e+05,2.4000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+05,2.0000000000000000e+05,2.5000000000000000e+06
"100011010","01","1","9152","7511","1",1.2000000000000000e+06,1.5800000000000000e+07,1.0790000000000000e+06,1.2948000000000000e+07,0.0000000000000000e+00,1.2500000000000000e+06,1.0790000000000000e+06,1.4198000000000000e+07
"100011011","01","1","3471","2812","1",1.3594760000000000e+06,1.6363712000000000e+07,1.2863470000000000e+06,1.3296603000000000e+07,0.0000000000000000e+00,2.1000000000000000e+06,1.2863470000000000e+06,1.5396603000000000e+07
"100011012","01","1","7212","2812","1",2.8250670000000000e+06,3.3050804000000000e+07,2.5623240000000000e+06,2.8647972000000000e+07,0.0000000000000000e+00,1.3000000000000000e+06,2.5623240000000000e+06,2.9947972000000000e+07
"100011014","01","1","4223","6022","3",6.5000000000000000e+05,1.9500000000000000e+06,6.5000000000000000e+05,1.9500000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,6.5000000000000000e+05,1.9500000000000000e+06
"100011014","04","2","8324","6023","3",0.0000000000000000e+00,2.0000000000000000e+06,0.0000000000000000e+00,2.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+06
