ADDRESS,COL01,COL02,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
"000011001","01","1","7122","4540","3",1.2000000000000000e+05,8.5000000000000000e+06,1.2000000000000000e+05,8.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+05,8.5000000000000000e+06
"000011011","01","1","8163","0140","3",6.0000000000000000e+05,3.6000000000000000e+06,6.0000000000000000e+05,3.6000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+05,3.6000000000000000e+06
"000011011","01","2","9314","4521","3",0.0000000000000000e+00,7.5000000000000000e+05,0.0000000000000000e+00,7.5000000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5000000000000000e+05
"000011016","01","1","8163","4100","3",6.0000000000000000e+05,1.2000000000000000e+06,6.0000000000000000e+05,1.2000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+05,1.2000000000000000e+06
"000011016","01","2","9314","4521","3",0.0000000000000000e+00,1.2000000000000000e+06,0.0000000000000000e+00,1.2000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+06
"000011020","01","2","9314","4521","3",0.0000000000000000e+00,2.1000000000000000e+06,0.0000000000000000e+00,2.1000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1000000000000000e+06
"000011021","01","1","9314","4521","3",6.0000000000000000e+05,7.2000000000000000e+06,6.0000000000000000e+05,7.2000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+05,7.2000000000000000e+06
"000011022","01","1","9314","4521","3",4.5000000000000000e+05,6.8000000000000000e+06,4.5000000000000000e+05,6.8000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.5000000000000000e+05,6.8000000000000000e+06
"000011023","03","1","9314","4521","3",3.5000000000000000e+05,3.5000000000000000e+06,3.5000000000000000e+05,3.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+05,3.5000000000000000e+06
"000011023","04","1","9314","4521","3",3.5000000000000000e+05,3.5000000000000000e+06,3.5000000000000000e+05,3.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+05,3.5000000000000000e+06
"000011024","01","1","9314","4521","3",5.0000000000000000e+05,2.0000000000000000e+06,5.0000000000000000e+05,2.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+05,2.0000000000000000e+06
"000011025","01","1","5130","8513","1",5.0000000000000000e+05,6.0000000000000000e+06,5.0000000000000000e+05,6.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+05,6.0000000000000000e+06
"000011025","02","1","2444","8513","1",5.0000000000000000e+05,6.0000000000000000e+06,5.0000000000000000e+05,6.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+05,6.0000000000000000e+06
"000011027","01","1","9211","0130","3",1.2000000000000000e+06,2.4000000000000000e+06,1.2000000000000000e+06,2.4000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+06,2.4000000000000000e+06
"000011027","01","2","5122","1726","3",0.0000000000000000e+00,1.0824752000000000e+07,0.0000000000000000e+00,1.0380480000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0380480000000000e+07
