Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
"100041052","01","1","9314","4521","3","8","6","0000780000","0006000000","0000780000","0006000000",,,"780000","6000000"
"100041054","01","1","9314","4521","3","9","6","0002100000","0025200000","0002100000","0025200000",,,"2100000","25200000"
"100041054","03","1","9333","5126","3","9","6","0001950000","0023400000","0001950000","0023400000",,,"1950000","23400000"
"100011043","03","1","7141","4540","3","9","6","0002700000","0008100000","0002700000","0008100000",,,"2700000","8100000"
"100041053","01","1","2331","8012","1","5","6","0002557790","0034093480","0002246810","0026961720",,"0003400000","2246810","30361720"
"100041053","03","1","9314","4521","3","10","7","0002015000","0018135000","0002015000","0018135000",,,"2015000","18135000"
"100061072","01","1","7233","2698","2","10","6","0003157750","0043643000","0002869614","0034435368",,"0005750000","2869614","40185368"
"100011039","02","1","5220","5211","3","10","6","0000800000","0009600000","0000800000","0009600000",,,"800000","9600000"
"100061070","01","1","9314","4521","3","9","7","0002015000","0019825000","0002015000","0019825000",,,"2015000","19825000"
"100061069","01","1","7222","3430","3","10","6","0002156480","0030307760","0002015197","0024182364",,"0004430000","2015197","28612364"
"100011036","01","1","4134","7511","3","8","6","0002140000","0022900000","0002040134","0020401340",,"0001500000","2040134","21901340"
"100011038","01","1","2331","8012","1","5","6","0003226950","0042973400","0002788830","0033465960",,"0004250000","2788830","37715960"
"100061068","01","1","7133","4521","3","9","7","0001950000","0023400000","0001950000","0023400000",,,"1950000","23400000"
"100011024","02","1","2331","8012","1","5","6","0002550000","0034120000","0002240500","0026886000",,"0003520000","2240500","30406000"
"100011021","01","1","5123","6512","1","10","6","0002363554","0030362648","0002215328","0026583936",,"0002000000","2215328","28583936"
"100011014","01","1","3152","2722","1","10","6","0006458800","0091105600","0005686510","0068238120",,"0013600000","5686510","81838120"
"100011014","02","1","4113","7511","1","8","6","0003159440","0042063280","0002871056","0034452672",,"0004150000","2871056","38602672"
"100061058","03","1","7241","4522","3","10","6","0001570000","0003140000","0001570000","0003140000",,,"1570000","3140000"
"100061059","01","1","4134","2722","3","10","6","0001785900","0024880800","0001702558","0020430696",,"0003450000","1702558","23880696"
"100061060","01","1","7438","7512","1","8","6","0001753400","0025020800","0001595594","0019147128",,"0003980000","1595594","23127128"
"100041047","03","1","9314","4521","3","8","7","0001950000","0017550000","0001950000","0017550000",,,"1950000","17550000"
"100041047","04","1","9314","4521","3","8","7","0001950000","0017550000","0001950000","0017550000",,,"1950000","17550000"
"100011004","01","1","4121","4100","1","8","6","0003457000","0043684000","0003253674","0039044088",,"0002200000","3253674","41244088"
"100011001","01","1","5123","6304","3","4","3","0000450000","0001800000","0000450000","0001800000",,,"450000","1800000"
"100041050","01","1","2320","8021","1","6","6","0002645000","0035740000","0002447830","0029373960",,"0004000000","2447830","33373960"
"100011002","01","1","2149","2812","1","8","6","0004883975","0077157700","0004362660","0052351920",,"0018550000","4362660","70901920"
"100011005","01","1","8281","3520","3","10","6","0003190951","0048141412","0002854126","0034249512",,"0009850000","2854126","44099512"
"100011003","03","1","7222","3420","3","9","6","0001730000","0022760000","0001649267","0019791204",,"0002000000","1649267","21791204"
"100011018","01","1","4190","6512","1","11","6","0002530000","0031163000","0002391380","0026556560",,"0003030000","2391380","29586560"
"100011019","03","1","3118","7498","3","7","6","0000960000","0012320000","0000960000","0011520000",,"0000800000","960000","12320000"
"100041046","01","1","2331","8012","1","5","6","0002529800","0033607600","0002358490","0028301880",,"0003250000","2358490","31551880"
"100011035","01","1","9314","4521","3","8","7","0002100000","0012600000","0002100000","0012600000",,,"2100000","12600000"
"100011035","01","1","9152","7498","3","9","7","0001679455","0022878460","0001601081","0019212972",,"0002725000","1601081","21937972"
"100011034","01","1","8322","6021","3","10","6","0001500000","0018000000","0001500000","0018000000",,,"1500000","18000000"
"100011031","01","1","9152","2921","3","11","6","0004800000","0063600000","0004308000","0051696000",,"0006000000","4308000","57696000"
"100011032","04","2","7224","2892","3",,,"0","0001400000",,"0001400000",,,"0","1400000"
"100011032","06","2","7331","2029","3",,,"0","0001000000",,"0001000000",,,"0","1000000"
"100011032","07","1","0112","7522","1","8","7","0000080000","0000960000","0000080000","0000960000",,,"80000","960000"
"100061065","03","1","7501","1724","3","6","6","0000100000","0000550000","0000100000","0000550000",,,"100000","550000"
"100061065","05","1","7222","2899","3","8","6","0001060000","0006360000","0001060000","0006360000",,,"1060000","6360000"
"100061064","01","1","5220","1548","3","9","6","0002758000","0039446000","0002510094","0030121128",,"0006350000","2510094","36471128"
"100061074","01","1","8133","2611","3","9","6","0002405214","0030862568","0002306848","0027682176",,"0002000000","2306848","29682176"
"100011013","01","1","3431","3520","3","11","5","0007500000","0098000000","0006856600","0082279200",,"0008000000","6856600","90279200"
"100011022","01","1","2221","8513","1","8","6","0003200000","0039500000","0003200000","0039500000",,,"3200000","39500000"
"100061057","01","1","8324","6023","3","14","7","0003500000","0037000000","0003500000","0037000000",,,"3500000","37000000"
"100011026","01","1","7133","4521","3","10","7","0003600000","0032400000","0003600000","0032400000",,,"3600000","32400000"
"100011011","01","1","7222","3430","3","9","6","0001784000","0023158000","0001707373","0020488476",,"0001750000","1707373","22238476"
"100061060","03","1","7212","2320","3","10","6","0002650000","0036550000","0002436334","0029236008",,"0004750000","2436334","33986008"
"100061075","01","2","7212","2811","3",,,"0","0008000000",,"0008000000",,,"0","8000000"
"100011007","03","1","2221","7522","1","8","6","0000200000","0000600000","0","0","0","0","200000","600000"
"100012031","03","1","7136","7421","3","9","6","0001650000","0021300000","0001611500","0019338000",,"0001500000","1611500","20838000"
"100042046","01","1","2320","8021","1","4","6","0003853000","0048986000","0003614350","0043372200",,"0002750000","3614350","46122200"
"100042046","03","1","8322","4522","3","8","6","0001300000","0001300000","0001300000","0001300000",,,"1300000","1300000"
"100012001","01","1","7221","2811","3","10","6","0002850000","0035400000","0002850000","0035400000",,,"2850000","35400000"
"100042047","01","1","5220","5223","3","11","6","0001700000","0020400000","0001660334","0019924008",,,"1660334","019924008"
"100042049","01","1","3480","9193","3","7","7","0000450000","0005400000","0000450000","0005400000",,,"450000","5400000"
"100062063","01","1","9211","0140","3","8","4","0","0012000000",,"0012000000",,,"0","12000000"
"100062065","01","1","3416","4100","1","8","6","0004386098","0055133176","0003850154","0046201848",,"0002500000","3850154","48701848"
"100062062","02","1","2331","8012","1","5","5","0002671530","0036318360","0002338939","0028067268",,"0004250000","2338939","32317268"
"100012007","03","1","2320","8021","1","5","6","0002466330","0032385960","0002192727","0026312724",,"0002790000","2192727","29102724"
"100012008","03","1","7233","4531","3","9","6","0001850000","0003250000","0001850000","0003250000",,,"1850000","3250000"
"100012008","04","1","4113","4010","3","8","6","0002350000","0030700000","0002295167","0027542004",,"0002500000","2295167","30042004"
"100012005","03","1","8322","4522","3","8","6","0001700000","0013000000","0001700000","0013000000",,,"1700000","13000000"
"100012005","05","1","7218","3610","3","8","6","0000450000","0005400000","0000450000","0005400000",,,"450000","5400000"
"100012006","01","1","3431","7512","1","8","6","0001956160","0026623920","0001780106","0021361272",,"0003150000","1780106","24511272"
"100012038","01","1","2320","8021","1","8","5","0002838570","0037192840","0002494242","0029930904",,"0003130000","2494242","33060904"
"100012039","01","1","7131","4521","3","7","7","0002500000","0018000000","0002500000","0018000000",,,"2500000","18000000"
"100012039","03","1","7131","4521","3","9","7","0002800000","0021000000","0002800000","0021000000",,,"2800000","21000000"
"100012039","04","1","7131","4521","3","9","5","0001800000","0008000000","0001800000","0008000000",,,"1800000","8000000"
"100012039","06","1","7131","4521","3","8","4","0001300000","0003500000","0001300000","0003500000",,,"1300000","3500000"
"100012040","01","1","7131","4521","3","8","5","0002500000","0015000000","0002500000","0015000000",,,"2500000","15000000"
"100062075","01","1","7126","4521","3","10","5","0002300000","0028650000","0002300000","0028650000",,,"2300000","28650000"
"100012029","01","1","8322","8513","1","8","6","0002883967","0040057604","0002531014","0030372168",,"0005450000","2531014","35822168"
"100012042","01","1","5162","7523","1","8","6","0002388680","0032864160","0002124831","0025497972",,"0004200000","2124831","29697972"
"100012022","01","1","7136","4531","3","10","5","0002350000","0023760000","0002350000","0023760000",,,"2350000","23760000"
"100062067","01","1","7142","2812","3","8","6","0001650000","0022300000","0001611500","0019338000",,"0002500000","1611500","21838000"
"100062066","01","1","7222","2812","3","8","6","0001715000","0023230000","0001674984","0020099808",,"0002650000","1674984","22749808"
"100012026","01","1","8125","2722","1","10","4","0005256000","0070072000","0004959960","0059519520",,"0007000000","4959960","66519520"
"100012030","01","1","7212","2924","1","10","6","0003991663","0055349956","0003601220","0043214640",,"0007450000","3601220","50664640"
"100012040","04","1","4115","3610","3","8","6","0000300000","0000970000","0000300000","0000970000",,,"300000","970000"
"100012040","05","1","7131","4521","3","8","5","0002000000","0011500000","0002000000","0011500000",,,"2000000","11500000"
"100012043","01","1","5220","2511","3","7","6","0001850000","0021000000","0001850000","0021000000",,,"1850000","21000000"
"100062073","04","1","7417","1545","3","12","6","0001430000","0012870000","0001430000","0012870000",,,"1430000","12870000"
