ADDRESS,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
"000011001","01","1","6121","0124","2","1","2","7","0000750000","0001450000"," "," "," ","0006150000","3950000"
"000011002","01","1","6111","0111","2","1","5","5","0001400000","0001700000","0000280000","0001890000"," ","0015000000","9730000"
"000011002","01","1","6112","0113","2","1","2","3"," ","0000355000","0000050000","0000100000"," ","0004305000","3800000"
"000011003","01","1","6121","0124","2","1","2","7"," ","0005000000"," "," "," ","0011000000","6000000"
"000011003","02","1","6121","0124","3","1","2","7"," "," "," "," "," "," ","0"
"000011005","01","1","9112","5259","2","2","9","6"," ","0026000000"," "," "," ","0034000000","8000000"
"000011007","01","1","6121","0124","2","1","3","7","0006500000","0014000000"," "," "," ","0030500000","10000000"
"000011007","02","1","6121","0124","3","1","2","7"," "," "," "," "," "," ","0"
"000011007","04","1","5230","5252","2","2","7","7"," ","0016500000"," "," "," ","0018500000","2000000"
"000011009","01","1","5220","5050","2","2","4","7"," ","0009600000"," "," "," ","0014400000","4800000"
"000011010","01","1","6111","0111","2","1","7","7","0002540000","0003380000","0000150000","0004920000"," ","0026800000","15810000"
"000011011","01","1","6121","0124","2","1","4","4"," ","0010000000"," "," "," ","0011834000","1834000"
"000011011","01","1","5220","5298","2","2","2","3"," ","0004200000"," "," "," ","0004950000","750000"
"000011011","04","1","6121","0124","3","1","6","7"," "," "," "," "," "," ","0"
"000011011","07","1","6121","0124","3","1","6","7"," "," "," "," "," "," ","0"
"000011014","01","1","6121","0124","2","1","6","7"," ","0010000000"," "," "," ","0017306000","7306000"
"000011015","01","1","6111","0111","2","1","6","7","0003300000","0004150000","0000700000","0002250000"," ","0031150000","20750000"
"000011015","01","1","6121","0124","2","1","4","7"," ","0005000000"," "," "," ","0023160000","18160000"
"000011016","01","1","6111","0112","2","1","4","7","0000400000","0001470000","0000600000","0001090000"," ","0009800000","6240000"
"000011016","01","1","6121","0124","2","1","3","7"," ","0007500000"," "," "," ","0018260000","10760000"
"000011016","03","1","6111","0112","3","1","5","5"," "," "," "," "," "," ","0"
"000011016","03","1","8322","6023","2","2","3","4"," ","0001850000","0000960000","0000270000"," ","0008880000","5800000"
"000011017","01","1","6111","0111","2","1","5","4","0000290000","0000650000"," ","0001050000"," ","0007600000","5610000"
"000011018","01","1","6111","0111","1","1","5","7","0016900000","0004400000","0000970000","0004400000"," ","0033200000","6530000"
"000011018","01","1","6121","0124","2","1","3","7","0000730000","0003600000"," "," "," ","0024056000","19726000"
"000011018","01","1","8322","6023","2","2","2","4"," ","0002350000","0008300000","0000450000"," ","0015750000","4650000"
"000011018","01","1","6112","0113","2","1","3","3","0001150000","0001390000","0000520000","0000185000"," ","0008500000","5255000"
"000011019","01","1","6112","0113","2","1","3","2","0000470000","0000050000"," "," "," ","0002900000","2380000"
"000011022","01","1","5220","5223","2","2","13","7"," ","0108000000","0002300000","0001750000"," ","0134550000","22500000"
"000011023","01","1","6112","0113","2","1","3","4"," ","0000655000","0000300000","0000380000"," ","0006430000","5095000"
"000011025","01","1","6111","0111","2","1","5","6"," ","0000950000","0000150000","0001050000"," ","0003350000","1200000"
"000011025","01","1","6112","0113","2","1","3","4"," ","0000840000","0000200000","0000070000"," ","0002100000","990000"
"000011025","03","1","6121","0124","2","1","5","7","0000650000","0007500000"," "," "," ","0054400000","46250000"
"000011027","01","1","6121","0124","2","1","2","7","0002000000","0003250000"," "," "," ","0009050000","3800000"
"000011027","02","1","6121","0124","3","1","2","7"," "," "," "," "," "," ","0"
"000011028","01","1","6111","0111","2","1","4","7","0000850000","0000920000","0000350000","0002770000"," ","0024500000","19610000"
"000011028","01","1","6121","0124","2","1","3","7","0003700000","0006500000"," "," "," ","0029251000","19051000"
"000011028","01","1","5220","5223","2","2","4","7"," ","0004700000","0000110000","0000057000"," ","0008850000","3983000"
"000011028","03","1","6111","0111","3","1","5","7"," "," "," "," "," "," ","0"
"000011028","03","1","8322","6023","2","2","4","4"," ","0000720000","0000635000","0000172000"," ","0003150000","1623000"
"000011030","01","2","9111","5259","2","2","1"," "," ","0023000000"," "," "," ","33000000","10000000"
"000011033","01","1","6111","0111","2","1","4","5","0000700000","0000860000","0000080000","0001275000"," ","0011780000","8865000"
"000011033","01","1","6121","0124","2","1","3","7"," ","0005700000"," "," "," ","0013989850","8289850"
"000011033","02","1","7438","1920","2","2","2","5"," ","0000150000"," "," "," ","0001398000","1248000"
"000011037","01","1","6111","0111","2","1","5","6"," ","0001230000"," ","0006560000"," ","0024000000","16210000"
"000011038","01","1","6111","0111","2","1","9","7","0001850000","0000080000"," ","0001890000"," ","0014250000","10430000"
"000011038","01","1","6121","0124","2","1","4","7","0002200000","0004000000"," "," "," ","0009400000","3200000"
"000011038","02","1","6121","0124","3","1","2","7"," "," "," "," "," "," ","0"
"000011038","03","1","6111","0111","3","1","2","6"," "," "," "," "," "," ","0"
"000011038","04","1","6111","0111","3","1","3","6"," "," "," "," "," "," ","0"
"000011039","01","1","5220","5223","2","2","3","7"," ","0110000000","0002000000","0001500000"," ","0138000000","24500000"
"000011039","01","1","6111","0111","2","1","4","4","0000460000","0001200000"," ","0001120000"," ","0009600000","6820000"
"000011039","02","1","5220","5223","3","2","5","7"," "," "," "," "," "," ","0"
"000011041","01","1","6121","0124","2","1","7","7"," ","0002000000"," "," "," ","0005550000","3550000"
"000011041","02","1","6121","0124","3","1","1","7"," "," "," "," "," "," ","0"
"000011043","01","1","6111","0111","2","1","5","4"," ","0000350000"," ","0000630000"," ","0003000000","2020000"
"000011045","01","1","6121","0124","2","1","5","7","0003000000","0030000000"," "," "," ","48700000","15700000"
"000011045","01","1","6111","0111","2","1","3","4","0000700000","0000700000","0000090000","0002750000"," ","0007400000","3160000"
"000011051","01","1","9112","5259","2","2","6","4"," ","0001250000","0000380000","0000090000"," ","0007320000","5600000"
"000011051","01","2","6111","0111","2","1","1"," "," ","0001350000"," ","0000450000"," ","0004800000","3000000"
"000011052","01","1","5220","5281","2","2","8","6"," ","0040000000","0000350000","0000310000"," ","0063460000","22800000"
"000011053","01","1","7501","1724","2","2","5","4"," ","0000100000"," "," "," ","0000200000","100000"
"000011054","03","1","7501","1724","2","2","5","6"," ","0003500000"," "," "," ","10000000","6500000"
"000011054","04","1","7501","1724","3","2","4","5"," "," "," "," "," "," ","0"
"000011054","04","2","6121","0124","2","1","1"," "," ","0000150000"," "," "," ","0012331000","12181000"
"000011054","05","1","7501","1724","3","2","4","5"," "," "," "," "," "," ","0"
"000011054","06","1","7501","1724","3","2","4","6"," "," "," "," "," "," ","0"
"000011054","07","1","7501","1724","3","2","5","5"," "," "," "," "," "," ","0"
"000011055","01","1","7442","5262","2","2","5","7"," ","0000095000","0000030000","0000080000"," ","0003205000","3000000"
"000011057","01","1","6111","0111","2","1","5","4"," ","0001010000"," ","0003400000"," ","0009000000","4590000"
"000011057","01","1","6121","0124","2","1","2","7","0000600000","0004000000"," "," "," ","0007000000","2400000"
"000011057","02","1","7501","1724","2","2","6","6"," ","0001500000"," "," "," ","0005000000","3500000"
"000011058","01","1","6111","0111","2","1","3","3"," ","0000880000"," ","0001040000"," ","0006600000","4680000"
"000011058","01","1","6121","0124","2","1","2","4","0000600000","0002000000"," "," "," ","0006450000","3850000"
"000011058","02","1","6121","0124","3","1","1","7"," "," "," "," "," "," ","0"
"000011058","03","1","7501","1724","2","2","4","6"," ","0002500000"," "," "," ","0010000000","7500000"
"000011058","04","1","7501","1724","3","2","4","6"," "," "," "," "," "," ","0"
"000011058","05","1","7501","1724","3","2","4","5"," "," "," "," "," "," ","0"
"000011058","06","1","7501","1724","3","2","3","5"," "," "," "," "," "," ","0"
"000011060","01","1","6111","0111","2","1","7","7","0000450000","0000322000","0000090000","0000860000"," ","0011350000","9628000"
"000011060","02","1","7501","1724","2","2","3","4"," ","0000200000","0000030000"," "," ","0001000000","770000"
"000011062","01","1","6111","0111","2","1","4","3"," ","0000600000"," ","0000590000"," ","0007800000","6610000"
"000011062","01","1","6121","0124","2","1","1","5","0000140000","0002000000"," "," "," ","0008500000","6360000"
"000011062","05","1","5220","5281","2","2","8","5"," ","0034000000"," "," "," ","41500000","7500000"
"000011062","06","1","5220","5281","2","2","8","5"," ","0034000000"," "," "," ","41500000","7500000"
"000011062","07","1","6121","0124","3","1","5","7"," "," "," "," "," "," ","0"
"000011063","01","1","6121","0124","2","1","5","7"," ","0004000000"," "," "," ","0010050000","6050000"
"000011063","02","1","6121","0124","3","1","1","7"," "," "," "," "," "," ","0"
"000011064","01","1","6111","0111","2","1","6","5","0000350000","0000900000","0000280000","0002260000"," ","0010760000","6970000"
"000011064","02","1","7501","1724","2","2","3","4"," ","0000600000","0000050000"," "," ","0001350000","700000"
"000011065","01","1","6121","0124","2","1","5","7"," ","0085000000","0010000000"," "," ","0136600000","41600000"
"000011065","01","1","6111","0111","2","1","4","5","0000550000","0000590000"," ","0000950000"," ","0008250000","6160000"
"000011065","01","1","8322","6023","2","2","2","3"," ","0000300000","0000085000"," "," ","0001450000","1065000"
"000011066","01","1","6111","0111","2","1","7","4"," ","0005870000","0001650000","0006600000"," ","0053000000","38880000"
"000011066","01","1","6121","0124","2","1","2","3","0000600000","0003000000"," ","0007000000"," ","0016000000","5400000"
