ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"000062148","01"," "," "," ","0003240000"," ","0001800000"
"000062149","01","0019980000"," "," "," "," "," "
"000062150","01"," ","0005000000"," ","0003530000"," "," "
"000063116","01"," ","0006500000"," ","0002400000"," "," "
"000063119","01"," "," "," ","0003000000"," ","0000600000"
"000063120","01"," "," "," ","0007200000"," "," "
"000063121","01"," ","0004500000"," "," "," "," "
"000063122","01"," ","0001800000"," ","0002500000"," ","0000800000"
"000063123","01"," ","0023000000"," "," "," "," "
"000063125","01","0018500000"," "," "," "," "," "
"000063130","01","0021900000"," "," "," "," "," "
"000063138","01"," "," "," ","0002600000"," "," "
"000063141","01","0018500000"," "," "," "," "," "
"000063142","01"," "," "," ","0004400000"," "," "
"000063143","01"," "," "," ","0004800000"," "," "
"000063144","01"," "," "," ","0003400000"," ","0002000000"
"000063145","01"," "," "," ","0003000000"," ","0002000000"
"000063146","01"," "," "," ","0002500000"," "," "
"000063147","01"," "," "," ","0002700000"," ","0001500000"
"000063148","01"," "," "," ","0002600000"," "," "
"000063149","01"," "," "," ","0003350000"," ","0003000000"
"000064116","01"," "," "," ","0007000000"," "," "
"000064118","05"," "," "," ","0002500000"," "," "
"000064125","01"," ","0028800000"," "," "," "," "
"000064126","01"," "," "," "," "," ","0006000000"
"000064127","01"," ","0000200000"," ","0005000000"," "," "
"000064128","01","0014350000"," "," "," "," "," "
"000064131","01"," ","0001000000"," "," "," "," "
"000064136","01"," "," "," ","0002400000"," "," "
"000064137","01"," "," "," "," "," ","0002000000"
"000064138","01","0018000000"," "," "," "," "," "
"000064141","01"," "," "," "," ","0002200000","0000850000"
"000064142","01"," "," "," "," ","0002500000"," "
"000064143","01"," "," "," ","0002400000"," "," "
"000064146","01"," "," "," "," "," ","0008500000"
"000064147","01"," "," "," ","0003800000"," "," "
"000064148","01"," ","0001000000"," "," "," ","0009000000"
"000064149","01","0024854000"," "," "," "," "," "
"000064150","04"," "," "," ","0003420000"," "," "
"000071151","03"," "," "," "," ","0000450000"," "
"000071153","01"," "," "," ","0006400000"," "," "
"000071155","01"," "," "," ","0004500000"," "," "
"000071156","03"," "," "," ","0002300000"," "," "
"000071159","01"," "," "," ","0020000000"," "," "
"000071160","01"," "," "," ","0005100000"," "," "
"000071161","01"," "," "," ","0002700000","0000025000"," "
"000071162","01","0021000000","0007200000"," "," "," "," "
"000071165","01","0016500000"," "," "," "," "," "
"000071170","01"," ","0007000000"," ","0003550000"," "," "
"000011002","01"," ","0002500000"," "," "," "," "
"000011005","01"," "," "," "," "," ","0004000000"
"000011007","01"," "," "," ","0002800000"," "," "
"000011009","01"," "," "," "," ","0000300000"," "
"000011012","01"," "," "," ","0003420000"," ","0000800000"
"000011013","01"," "," "," "," "," ","0004000000"
"000011016","01"," "," "," ","0009500000"," "," "
"000011024","01","0025500000"," "," "," "," "," "
"000011026","01"," "," "," "," "," ","0000600000"
"000011027","01"," "," ","0008400000"," "," "," "
"000011031","01"," "," "," ","0003300000"," ","0000600000"
"000011033","01"," "," "," ","0022500000"," "," "
"000011033","06"," "," "," ","0003000000"," "," "
"000011034","01"," "," "," ","0016750000"," "," "
"000011035","01"," ","0000720000"," ","0002750000"," "," "
"000011042","01"," "," "," ","0002500000"," "," "
"000011042","02"," "," "," ","0001200000"," "," "
"000011043","01"," "," "," ","0001200000"," "," "
"000011043","02"," "," "," ","0002000000"," "," "
"000011043","03"," "," "," ","0002000000"," "," "
"000011044","01"," "," "," ","0000900000"," ","0000030000"
"000011045","01"," "," "," ","0003500000"," "," "
"000011046","01","0014700000"," "," "," "," "," "
"000011047","01"," "," "," ","0003000000"," ","0001000000"
