ADDRESS,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
"100011001","01","1","9141","8012","1","9","6","0002435683","0031578196","0002177904","0026134848"," ","0002350000","2177904","28484848"
"100011002","01","1","9211","0140","3","6","7","0","0003000000","0","0003000000","0"," ","0","3000000"
"100011004","01","1","9314","4521","3","11","3","0011200000","0010000000","0001200000","0010000000"," "," ","1200000","10000000"
"100011005","01","1","9211","0140","3","9","6","0001150000","0009000000","0001150000","0009000000"," "," ","1150000","9000000"
"100011007","01","1","5123","5522","3","9","7","0001730000","0022360000","0001649267","0019791204"," ","0001600000","1649267","21391204"
"100011010","01","1","7224","3420","3","10","6","0001935000","0017480000","0001844700","0014757600"," ","0002000000","1844700","16757600"
"100011011","01","1","2320","8021","1","6","6","0003600000","0046300000","0003072000","0000432000"," ","0003100000","3072000","3532000"
"100011012","02","1","7231","5023","3","9","6","0000700000","0009400000","0000700000","0008400000"," ","0001000000","700000","9400000"
"100011013","01","1","9314","4521","3","8","6","0001750000","0021000000","0001750000","0021000000"," "," ","1750000","21000000"
"100011014","01","1","9131","9500","3","5","7","0001000000","0012000000","0001000000","0012000000"," "," ","1000000","12000000"
"100011015","01","1","7141","4540","3","8","6","0002500000","0033300000","0002313334","0027760008"," ","0003300000","2313334","31060008"
"100011016","01","1","8322","6022","3","14","7","0003000000","0035000000","0003000000","0035000000"," "," ","3000000","35000000"
"100011017","01","1","5123","7491","3","9","6","0002840000","0040080000","0002691467","0032297604"," ","0006000000","2691467","38297604"
"100011018","03","1","4190","2320","3","8","6","0002500000","0025000000","0002500000","0025000000"," "," ","2500000","25000000"
"100011021","03","1","2320","2320","1","6","4","0002880000","0038210000","0002620800","0031449600"," ","0003650000","2620800","35099600"
"100011021","04","1","2320","2320","1","6","5","0003960000","0051200000","0003603600","0043243200"," ","0003680000","3603600","46923200"
"100011021","05","1","4190","7511","1","8","6","0002760000","0036320000","0002511600","0030139200"," ","0003200000","2511600","33339200"
"100011024","03","1","4190","6512","1","8","6","0003650000","0047800000","0003342200","0040106400"," ","0004000000","3342200","44106400"
"100011027","01","1","7122","4521","3","9","6","0003900000","0046800000","0003900000","0046800000"," "," ","3900000","46800000"
"100011030","01","1","7245","4010","1","8","6","0006700000","0088500000","0005932334","0071188008"," ","0008100000","5932334","79288008"
"100011031","02","2","7141","4540","3"," "," ","0","0003000000"," ","0003000000"," "," ","0","3000000"
"100011032","01","1","9314","4521","3","11","3","0001650000","0008000000","0001650000","0008000000"," "," ","1650000","8000000"
"100011033","01","1","9314","4521","3","8","5","0001050000","0012600000","0001050000","0012600000"," "," ","1050000","12600000"
"100011033","03","1","8223","2892","3","9","6","0000400000","0003200000","0000400000","0003200000"," "," ","400000","3200000"
"100011034","01","1","9314","4521","3","8","7","0000910000","0011286000","0000910000","0011286000"," "," ","910000","11286000"
"100011036","01","1","9314","4521","3","8","6","0001820000","0014700000","0001820000","0014700000"," "," ","1820000","14700000"
"100011036","03","2","9314","4521","3"," "," ","0","0009750000","0","0009750000"," "," ","0","9750000"
"100011036","04","2","9314","4521","3"," "," ","0","0009000000","0"," "," "," ","0","9000000"
"100011042","01","1","7126","4521","3","9","6","0002000000","0024000000","0002000000","0024000000"," "," ","2000000","24000000"
"100011043","01","1","7224","2892","3","8","6","0001800000","0021600000","0001800000","0021600000"," "," ","1800000","21600000"
"100011043","04","1","4222","8514","3","5","3","0000700000","0008900000","0000700000","0008400000"," ","0000500000","700000","8900000"
"100011046","01","1","7233","3520","1","12","6","0003787290","0052697480","0003447821","0041373852"," ","0007250000","3447821","48623852"
"100011047","01","1","3435","8511","1","8","6","0003712812","0048873744","0003223378","0038680536"," ","0004320000","3223378","43000536"
"100011048","01","1","7212","3520","1","10","6","0003300000","0044300000","0003032000","0036384000"," ","0004700000","3032000","41084000"
"100011049","01","1","4190","7498","3","9","6","0003350000","0044200000","0003193667","0038324004"," ","0004000000","3193667","42324004"
"100011050","01","1","8125","2722","1","12","5","0005460000","0075520000","0005153200","0061838400"," ","0010000000","5153200","71838400"
"100011051","01","1","8323","6021","3","14","4","0001800000","0017000000","0001800000","0017000000"," "," ","1800000","17000000"
"100011053","01","1","9314","4521","3","12","6","0002400000","0023000000","0002400000","0023000000"," "," ","2400000","23000000"
"100011055","01","1","9314","4521","3","8","5","0001400000","0018900000","0001400000","0018900000"," "," ","1400000","18900000"
"100012001","01","1","5169","2812","2","8","6","0003000000","0039000000","0002775000","0033300000"," ","0003000000","2775000","36300000"
"100012002","01","1","8323","2320","1","10","7","0005000000","0063700000","0004481668","0053780016"," ","0003700000","4481668","57480016"
"100012004","01","1","1427","8098","3","8","6","0006000000","0072000000","0005720000","0068640000"," "," ","5720000","68640000"
"100012007","01","1","8322","4522","3","8","6","0002200000","0029800000","0002097334","0025168008"," ","0003220000","2097334","28388008"
"100012008","01","1","8211","2921","1","8","6","0003000000","0039300000","0002860000","0034320000"," ","0003300000","2860000","37620000"
"100012009","01","1","8322","6022","3","10","7","0003600000","0043200000","0003600000","0043200000"," "," ","3600000","43200000"
"100012009","02","1","4190","7512","1","8","6","0002200000","0030500000","0002097334","0025168008"," ","0003800000","2097334","28968008"
"100012010","01","1","4113","2812","1","8","6","0004000000","0050500000","0003628334","0043540008"," ","0002500000","3628334","46040008"
"100012015","01","1","7233","7522","1","8","6","0002400000","0031100000","0002288000","0027456000"," ","0002300000","2288000","29756000"
"100012017","01","1","8332","7513","3","10","6","0002200000","0029400000","0002092334","0025108008"," ","0003000000","2092334","28108008"
"100012018","01","1","4113","8511","1","8","6","0003000000","0037500000","0002860000","0034320000"," ","0001500000","2860000","35820000"
"100012018","02","1","2320","8021","1","6","4","0001900000","0024900000","0001729000","0020748000"," ","0002100000","1729000","22848000"
"100012020","01","1","3152","2924","1","8","5","0005500000","0069000000","0005360000","0064320000"," ","0003000000","5360000","67320000"
"100012020","02","1","3435","2411","3","8","5","0003000000","0055800000","0002743334","0032920008"," ","0003000000","2743334","35920008"
"100012022","01","1","4133","6023","3","8","6","0002700000","0034400000","0002574000","0030888000"," ","0002000000","2574000","32888000"
"100012025","01","1","2331","2722","1","8","6","0004000000","0049500000","0003813334","0045760008"," ","0001500000","3813334","47260008"
"100012026","01","1","5122","7491","3","8","7","0002300000","0030600000","0002177667","0026132004"," ","0003000000","2177667","29132004"
"100012027","01","1","9314","4521","3","10","7","0001900000","0015200000","0001900000","0015200000"," "," ","1900000","15200000"
"100012028","01","1","4221","6021","3","12","7","0001800000","0023100000","0001800000","0021600000"," ","0001500000","1800000","23100000"
"100012030","01","1","4134","1110","1","8","6","0002700000","0036200000","0002519000","0030228000"," ","0003800000","2519000","34028000"
"100012031","01","1","9314","4521","3","10","6","0001500000","0018000000","0001500000","0018000000"," "," ","1500000","18000000"
"100012032","01","1","9160","7511","3","8","6","0002000000","0026350000","0001906668","0022880016"," ","0002350000","1906668","25230016"
"100012033","01","1","9314","4521","3","10","6","0001500000","0018000000","0001500000","0018000000"," "," ","1500000","18000000"
"100012035","01","1","9132","8511","1","8","6","0001450000","0018900000","0001319500","0015834000"," ","0001500000","1319500","17334000"
"100012036","01","1","5123","5521","3","12","7","0000900000","0008550000","0000900000","0008550000"," "," ","900000","8550000"
"100012037","02","1","2320","8021","1","6","4","0002200000","0028700000","0001990317","0023883804"," ","0002300000","1990317","26183804"
"100012039","01","1","7241","5026","3","10","6","0001500000","0019500000","0001430000","0017160000"," ","0001500000","1430000","18660000"
"100012040","01","1","5220","5223","3","8","6","0001500000","0018000000","0001500000","0018000000"," "," ","1500000","18000000"
"100012041","01","1","8125","2722","1","8","6","0002000000","0027000000","0001906667","0022880004"," ","0003000000","1906667","25880004"
"100012045","01","1","4134","8031","3","12","6","0001800000","0024600000","0001716000","0020592000"," ","0003000000","1716000","23592000"
"100012046","01","1","9314","4521","3","10","6","0001050000","0009450000","0001050000","0009450000"," "," ","1050000","9450000"
"100012047","01","1","8125","2722","1","8","6","0002300000","0029600000","0001978000","0023736000"," ","0002000000","1978000","25736000"
"100012048","01","1","9314","4521","3","10","6","0001800000","0021600000","0001800000","0021600000"," "," ","1800000","21600000"
"100012049","01","1","9314","4521","3","11","6","0002000000","0020000000","0002000000","0020000000"," "," ","2000000","20000000"
"100013001","01","1","9314","4521","3","9","7","0002643000","0021144000","0002643000","0021144000"," "," ","2643000","21144000"
"100013001","01","2","8322","6022","3"," "," ","0","0003500000","0","0003500000"," "," ","0","3500000"
"100013006","01","1","5162","7523","1","8","6","0002839900","0038278800","0002515319","0030183828"," ","0004200000","2515319","34383828"
"100013007","01","1","3471","2924","1","9","6","0003759180","0049210160","0003422834","0041074008"," ","0004100000","3422834","45174008"
"100013008","01","1","2490","8021","1","8","6","0002964750","0038127000","0002616448","0031397376"," ","0002550000","2616448","33947376"
"100013008","02","1","1429","8021","1","8","6","0002831970","0036533640","0002508896","0030106752"," ","0002550000","2508896","32656752"
"100013010","01","1","2331","8012","3","5","6","0001000000","0012800000","0001000000","0012000000"," ","0000800000","1000000","12800000"
"100013011","01","1","4113","7530","1","8","6","0003871500","0051208000","0003518680","0042224160"," ","0004750000","3518680","46974160"
"100013012","01","1","4190","7512","1","8","6","0002446230","0032074760","0002196447","0026357364"," ","0002720000","2196447","29077364"
"100013013","01","1","4221","6021","1","8","7","0003996730","0054854180","0003625543","0043506516"," ","0006893420","3625543","50399936"
