ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"100011003","01"," "," "," ","0002880000"," ","0001200000"
"100011006","01"," "," "," ","0017700000"," "," "
"100011007","01"," "," "," "," "," ","0005000000"
"100011008","01","0046500000"," "," "," "," "," "
"100011009","01","0018060000"," "," "," "," "," "
"100011012","01"," "," "," "," "," ","0013200000"
"100011014","01"," "," "," "," "," ","0002400000"
"100011016","01"," ","0010000000"," "," "," "," "
"100011017","01"," "," "," "," "," ","0024000000"
"100011018","01"," ","0007500000"," "," "," "," "
"100011019","01"," ","0009600000"," "," "," "," "
"100011020","01"," "," "," "," "," ","0003500000"
"100011021","01","0018810000"," "," "," "," "," "
"100011022","01"," ","0024000000"," "," "," "," "
"100011024","01"," ","0014400000"," "," "," "," "
"100011026","01","0034150000"," "," "," "," "," "
"100011031","01"," ","0000850000"," ","0003200000"," ","0000300000"
"100011032","01"," "," "," "," "," ","0001500000"
"100011035","01"," "," "," "," "," ","0002400000"
"100011037","02"," "," "," "," ","0007800000"," "
"100011038","01"," ","0003600000"," "," "," ","0005800000"
"100011039","01"," "," "," ","0003700000"," ","0001500000"
"100011040","01","0030900000"," "," "," "," "," "
"100011043","05","0014460000"," "," "," "," "," "
"100011044","01","0020700000"," "," "," "," "," "
"100011049","01"," "," "," "," "," ","0002000000"
"100011050","01"," ","0001500000","0019500000"," "," "," "
"100011052","01","0015900000"," "," "," "," "," "
"100012003","01","0017100000"," "," "," "," "," "
"100012005","01","0037020000"," "," "," "," "," "
"100012006","01","0018300000"," "," "," "," "," "
"100012012","01","0026600000"," "," "," "," "," "
"100012016","01","0028150000"," "," "," "," "," "
"100012019","01","0024300000"," "," "," "," "," "
"100012021","01","0033900000"," "," "," "," "," "
"100012023","01","0026791600"," "," "," "," "," "
"100012025","01","0017100000","0003600000"," "," "," "," "
"100012030","01"," ","0008640000"," "," "," "," "
"100012033","01"," "," "," "," "," ","0003000000"
"100012034","02"," "," "," "," ","0012000000"," "
"100012038","01","0004800000"," "," "," "," "," "
"100012042","01","0042700000"," "," "," "," "," "
"100012043","01","0021100000"," "," "," "," "," "
"100012046","01"," "," "," ","0004200000"," "," "
"100013002","01","0024100000"," "," "," "," "," "
"100013003","01"," "," ","0022200000"," "," "," "
"100013009","01","0022100000"," "," "," "," "," "
"100013010","01","0033500000"," "," "," "," "," "
"100013014","01"," ","0014160000"," "," "," "," "
"100013016","01","0216901000"," "," "," "," "," "
"100013022","01","0018240000"," "," "," "," "," "
"100013023","01","0026550000"," "," "," "," "," "
"100013026","01"," ","0014640000"," "," "," "," "
"100013028","07"," "," "," ","0001700000"," "," "
"100013029","01"," ","0021600000"," "," "," "," "
"100013032","01","0002680000"," "," "," "," "," "
"100013035","01"," "," "," ","0006800000"," "," "
"100013036","01","0022950000"," "," "," "," "," "
"100013037","04"," "," ","0008260000"," "," "," "
"100013039","01","0016000000"," "," "," "," "," "
"100013041","01"," "," "," "," "," ","0018000000"
"100013045","01","0020100000"," "," "," "," "," "
"100014006","01"," ","0008280000"," "," "," "," "
"100014008","01"," ","0007200000"," "," "," "," "
"100014009","01"," "," ","0002160000"," "," "," "
"100014012","01"," ","0009720000"," "," "," "," "
"100014012","03","0001080000"," "," "," "," "," "
"100014015","01","0045200000"," "," "," "," "," "
"100014015","03"," "," ","0001280000"," "," "," "
"100014018","01","0786548084"," "," "," "," "," "
"100014020","01","0025750000"," "," "," "," "," "
"100014025","01"," "," ","0003000000"," "," "," "
"100014026","01"," "," "," ","0018860000"," "," "
"100014027","01"," ","0004560000"," "," "," ","0004000000"
"100014029","01"," "," "," ","0026550000"," "," "
"100014032","01","0018550000","0016800000"," "," "," "," "
"100014035","01"," "," "," ","0040109880"," "," "
"100014039","01"," "," "," ","0004300000"," "," "
"100014041","01","0028750000"," "," "," "," "," "
"100014042","01"," "," "," ","0003000000"," "," "
"100014042","02"," "," "," "," "," ","0010000000"
"100014042","04"," "," "," ","0000600000"," "," "
"100014047","01","0027700000"," "," "," "," "," "
"100014049","01","0032500000"," "," "," "," "," "
"100022054","01"," ","0007440000"," "," "," "," "
"100033051","01"," ","0007800000"," "," "," "," "
"100033052","01"," "," ","0003000000","0004000000"," "," "
"100033053","01"," "," "," ","0024000000"," "," "
"100033055","01"," "," "," ","0003300000"," ","0003000000"
"100034051","01"," ","0003600000"," "," "," "," "
"100034053","01","0033700000"," "," "," "," "," "
"100034055","01","0033700000"," "," "," "," "," "
"100041057","01"," "," ","0011600000"," "," "," "
"100041058","01"," "," "," ","0005180000"," "," "
"100041064","01","0016220000","0005250000"," "," "," "," "
"100042056","01"," ","0007000000"," "," "," ","0000800000"
"100042057","01","0020000000"," "," "," "," "," "
"100042058","01"," "," "," ","0022860000"," "," "
"100043058","01"," "," "," ","0006600000"," "," "
"100044056","01","0045000000"," "," "," "," "," "
"100044059","01","0038500000","0016000000"," "," "," "," "
"100051067","02"," "," "," "," "," ","0008000000"
"100051067","03"," "," "," "," ","0003000000","0011000000"
"100051067","04"," "," "," "," "," ","0012000000"
"100051068","01"," "," "," "," "," ","0001000000"
"100051069","01"," ","0004800000"," "," "," ","0000750000"
"100051070","01"," "," "," "," "," ","0010800000"
"100052061","01"," ","0004800000"," "," "," "," "
"100052063","01","0015400000"," "," "," "," "," "
"100052065","01"," ","0008400000"," "," "," ","0001000000"
"100053064","01"," ","0013000000"," "," "," "," "
"100054065","01","0006000000"," "," "," "," "," "
"100061071","01"," ","0007400000"," "," "," "," "
"100061074","01"," ","0008000000"," "," "," "," "
"100061075","01"," ","0010800000"," "," "," "," "
"100061076","01","0012300000"," "," "," "," "," "
