Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"100011030","01",,"0028800000","0003000000",,,
"100011048","01",,,,"0005000000",,
"100011050","01",,"0015240000",,,,
"100011033","01",,"0007800000",,,,
"100011035","01",,,,"0003550000",,
"100011017","01","0061350000",,,,,
"100011019","01",,,,,,"0024000000"
"100011020","01","0030190000","0009600000",,,,
"100061092","01","0031100000",,,,,
"100061092","03",,,,"0001850000",,
"100061093","01",,,,,,"0009000000"
"100021061","01","0025700000",,,,,
"100021062","01","0019500000","0008400000",,,,
"100021063","01",,"0004800000",,,,
"100061095","01","0015100000",,,,,
"100011021","01",,,"0003540000",,,
"100011022","01",,,,"0002400000",,
"100011040","01",,"0005520000",,,,
"100011039","01",,,,"0002800000",,
"100011025","01","0024550000",,,,,
"100011026","03",,,"0001440000",,,
"100011041","01","0029350000",,,,,
"100011041","02","0032950000",,,,,
"100011045","01",,"0007800000",,,,
"100011004","01","0040150000",,,,,
"100091109","01","0047700000",,,,,
"100091107","01","0030350000",,,,,
"100011005","01","0060000000",,,,,
"100011005","02","0026550000","0014000000",,,,
"100011009","01",,,,,,"0001500000"
"100011011","01",,"0036600000","0012000000",,,
"100011015","01",,"0010200000",,,,
"100011014","01","0057550000",,"0006840000",,,
"100011028","01",,"0031200000",,,,
"100011001","01","0031200000",,,,,
"100051077","01",,"0007200000",,,,
"100011029","01",,"0025800000",,,,
"100061097","01",,,"0009500000",,,
"100041067","04",,,,"0001800000",,
"100041068","01",,"0001200000",,,,"0004800000"
"100041069","01","0025750000",,,,,
"100061082","01",,,,,,"0001200000"
"100061083","01",,"0016000000",,,,"0002000000"
"100061084","01","0050150000","0007150000",,,,
"100061085","01",,,,"0003100000",,
"100091111","01",,"0012000000",,,,
"100061104","01",,,"0014400000","0003900000",,
"100041072","01","0028700000",,,,,
"100011060","01",,,,"0002500000",,
"100011042","01","0034950000",,,,,
"100011042","02","0028350000",,,,,
"100011044","01","0025990000",,,,,
"100011043","01","0019270000",,,,,
"100061086","01",,"0009600000",,,,
"100061101","01",,,,"0003900000",,
"100011059","01",,"0016200000",,,,
"100062093","01",,"0017400000",,,,
"100012007","01","0023300000",,,,,
"100012047","02","0026550000",,,,,
"100012050","01",,,,,,"0012000000"
"100012046","01",,,,,,"0010800000"
"100012021","01","0024100000",,,,,
"100012010","01","0056500000",,,,,
"100012053","01",,,,,,"0015600000"
"100062081","01","0030550000",,,,,
"100042067","01",,,,,,"0004500000"
"100012042","01","0040000000",,,"0037750000",,
"100012043","01","0026150000",,,,,
"100012015","01",,"0009240000",,,,
"100012014","01","0019750000",,,,,
"100012048","01",,"0011000000",,,,
"100062086","01",,"0011400000",,,,
"100062089","01","0009000000",,,,,
"100062088","01",,"0001200000",,,,
"100052073","01",,"0004200000",,,,
"100052074","01",,,,"0002750000",,
"100012041","03","0002160000",,,,,
"100012020","01",,"0007350000",,"0001800000",,
"100012031","01",,,"0006480000",,,
"100012033","01",,,,,,"0000600000"
"100012056","01","0048600000",,,,,
"100072105","01","0026400000","0004140000",,,,
"100072101","01",,,,,,"0004800000"
"100012058","01","0028450000","0013200000",,,,
"100062087","01","0022600000","0002500000",,,,
"100092109","01",,,,,,"0003000000"
"100012025","01",,"0432000000",,,,
"100012040","01",,"0018600000",,,,
"100012037","01",,"0013800000",,,,
"100012038","01",,"0026400000",,,,
"100062076","01","0030350000",,,,,
"100062077","01","0037750000",,,,,
"100062079","01","0014200000",,,,,"0009600000"
"100062078","01",,,,,,"0006500000"
"100042069","01","0015500000",,,,,
"100012018","01","0053250000",,,,,
"100012019","01","0032050000",,,,,
"100012030","01",,,,"0028750000",,
"100062100","01",,,,,,"0002000000"
"100012027","01","0025750000",,,,,
"100012001","01","0029350000",,,"0003600000",,
"100012004","01","0009100000",,,,,"0015000000"
"100062091","01","0030780000",,,,,
"100062091","02","0030420000",,,,,
"100013032","01",,"0013200000",,,,
"100013035","01","0028310000",,,,,
"100013034","01",,"0005880000",,,,
"100013047","01","0043750000","0009000000",,,,
"100013046","01",,"0004968000",,,,
"100093108","01",,,"0007800000",,,"0012000000"
"100013050","01",,,,"0002050000",,"0017160000"
"100063097","01","0027200000",,,,,
"100013024","01",,"0036000000",,,,
"100013023","01","0034590000",,,,,
"100013022","01","0025740000",,,,,
"100013021","01","0034340000",,,,,
"100013039","01",,"0013200000",,,,
"100013007","01","0025860000","0014400000",,,,
"100013017","01",,"0112200000",,,,
"100013005","01",,"0011760000","0026340000",,,
"100013001","01","0026360000","0031200000",,,,
"100033061","01",,,,,,"0007800000"
"100063079","01","0030190000",,,,,
"100033065","01","0025750000",,,,,
"100033065","02","0025750000",,,,,
"100063095","01",,"0003500000",,,,
"100063078","01","0025700000","0024000000",,,,
"100013051","01","0037980000",,,,,
"100063085","01","0025700000",,,,,
"100013009","01",,,,,,"0006000000"
"100063098","01",,"0007200000",,,,
"100013053","01",,"0015600000",,,,
"100013058","01",,"0015000000",,,,"0001000000"
"100013056","01",,,,"0004200000",,
"100063089","01","0024310000","0008400000",,,,
"100053074","01","0018000000","0009450000",,,,"0003500000"
"100063086","01",,"0016800000",,,,
"100013014","01","0032700000",,,,,
"100013015","01","0043620000",,,,,
"100013012","01",,"0012000000",,,,
"100013045","01","0026260000",,,,,
"100013011","01","0039600000",,"0006000000",,,
"100013011","02","0026100000",,,,,
"100013028","01",,,,,,"0012000000"
"100063091","01",,"0007200000",,,,
"100033064","01","0025750000",,,,,
"100013004","01","0001380000",,"0000606000",,,
"100063077","01",,"0012000000",,,,
"100013020","02","0123150000",,"0010800000",,,
"100013002","01",,,,,,"0012000000"
"100013018","02",,"0006000000",,,,
"100043067","01","0004500000",,,,,
"100043070","01",,,,,,"0002000000"
"100013055","01",,"0011400000",,,,
"100063096","01",,"0015600000",,,,
"100073101","01","0025750000",,,,,
"100073103","01",,"0006600000",,,,
"100063087","01","0026100000",,,,,
"100063090","01","0046000000",,,,,
"100053072","01",,"0028000000",,,,
"100064078","01","0035600000",,,,,
"100064077","01","0042000000",,,,,
"100044063","01",,"0012000000",,,,
"100094109","01","0026000000",,,,,
"100064094","01","0059200000",,,,,
"100064080","01",,,,,,"0003000000"
"100064076","01","0037750000",,,,,
"100064079","01",,,,"0004000000",,"0002500000"
"100044062","01",,,,"0024700000",,
"100014001","01","0049360000",,,,,
"100014034","01",,,"0005490000",,,
"100064095","01","0025990000",,,,,
"100064091","01","0033000000",,,,,
"100014002","01",,"0006240000",,,,
"100014002","03","0002400000",,,,,
"100014049","01",,,,"0003540000",,
"100064082","01",,,,"0005600000",,"0002600000"
"100064100","01","0026000000",,,,,
"100064097","01",,,"0026600000",,,
"100064098","01","0026700000",,,,,
"100014021","01","0026230000",,,,,
"100014025","01","0038120000",,,,,
"100064088","01",,,,"0006000000",,
