Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
"20929225616","01","1","6111","01110","4","1","4","3","0005000000","0009000000","0002000000","0025000000","0","90000000","49000000"
"20929225616","02","1","6112","01240","6","1","4","3",,,,,,"0","0"
"20929225616","03","1","6112","01240","6","1","5","4",,,,,,"0","0"
"20922223812","01","1","6121","01440","4","1","6","5","0028000000","0040000000","0003000000","0003000000","0","48500000","-25500000"
"20922223812","01","1","6111","01110","5","1","5","4","0","0010000000","0","0015000000","0","70000000","45000000"
"20922223812","02","1","6111","01110","6","1","4","3",,,,,,"0","0"
"20922223812","03","1","6121","01440","6","1","5","3",,,,,,"0","0"
"20922223808","01","1","6121","01440","4","1","7","6","0014000000","0023000000","0001000000","0002000000","0","34000000","-6000000"
"20922223808","02","1","6121","01440","6","1","5","4",,,,,,"0","0"
"20922223808","03","1","6121","01440","6","1","4","4",,,,,,"0","0"
"20922223805","01","1","6121","01440","4","1","6","5","0013000000","0020000000","0","0001000000","0","25000000","-9000000"
"20922223805","02","1","6121","01440","6","1","5","4",,,,,,"0","0"
"20922223805","03","1","6111","01110","5","1","6","4","0","0014000000","0","0012000000","0","83000000","57000000"
"20930226013","01","1","6121","01440","5","1","6","7","0","0028000000","0","0002000000","0","45000000","15000000"
"20923224605","01","1","6111","01280","5","1","8","2","0","0005000000","0","0005000000","0","43000000","33000000"
"20923224616","01","1","6111","01110","5","1","6","6","0","0001000000","0","0004000000","0","15000000","10000000"
"20923224616","02","1","6121","01440","5","1","4","7","0","0030000000","0","0","0","20000000","-10000000"
"20923224612","01","1","6121","01440","5","1","6","7","0","0075000000","0","0005000000","0","100000000","20000000"
"20923224612","01","1","6111","01160","5","1","4","6","0","0","0","0001000000","0","15000000","14000000"
"20923224608","01","1","6111","01280","5","1","6","6","0","0005000000","0","0","0","10000000","5000000"
"20931226405","01","1","6121","01440","5","1","4","7","0","0029000000","0","0001000000","0","60000000","30000000"
