Address,Dycol01,Dycol03,Dycol04,Dycol05
"20906216905","001","4","12","0026360000"
"20937229205","001","1","12","0006740000"
"20937229201","001","4","12","0026360000"
"20913218512","001","3","12","0019770000"
"20913218505","001","4","12","0026360000"
"20913218516","001","3","12","0019770000"
"20913218513","001","3","12","0019770000"
"20913218508","001","3","12","0019770000"
"20937229216","001","5","6","0017340000"
"20937229216","001","4","6","0012600000"
"20937229212","001","6","12","0039540000"
"20907217312","001","2","12","0013180000"
"20907217305","001","6","12","0039540000"
"20934227201","001","4","12","0026160000"
"20934227216","001","2","12","0013080000"
"20934227213","001","2","4","0004200000"
"20934227213","001","3","8","0013470000"
"20934227212","001","5","12","0032700000"
"20934227208","001","2","12","0013080000"
"20934227208","003","2","12","0013080000"
"20934227205","001","2","12","0013080000"
"20936228405","001","5","2","0004550000"
"20936228405","001","4","10","0022520000"
"20936228408","001","5","12","0032700000"
"20936228413","001","6","12","0039240000"
"20936228416","001","4","12","0026160000"
"20936228412","001","2","4","0004200000"
"20936228412","001","3","8","0013470000"
"20936228401","001","4","12","0026160000"
"20907217316","001","4","12","0026360000"
"20915219808","001","1","12","0006740000"
"20915219801","001","3","12","0020220000"
"20915219805","001","2","12","0013480000"
"20923224212","001","2","12","0013180000"
"20923224205","001","2","12","0013180000"
"20923224208","001","5","12","0032950000"
"20923224213","001","5","12","0032950000"
"20923224216","001","1","12","0006590000"
"20923224201","001","2","12","0013180000"
"20935228005","001","4","12","0026360000"
"20935228012","001","3","12","0019770000"
"20920223416","001","5","12","0032700000"
"20920223408","001","3","12","0019620000"
"20920223401","001","4","12","0026960000"
"20920223413","001","5","12","0033700000"
"20920223405","001","4","12","0026160000"
"20920223412","001","4","12","0026160000"
"20906216501","001","2","12","0013080000"
"20906216505","001","6","12","0039240000"
"20907217301","001","6","12","0039540000"
"20907217301","003","1","12","0006740000"
"20935228001","001","5","12","0032950000"
"20906216508","001","3","12","0019620000"
"20906216512","001","4","12","0026160000"
"20906216513","001","3","12","0019620000"
"20906216516","001","5","12","0032700000"
"20932226812","001","5","12","0032950000"
"20932226801","001","2","8","0007840000"
"20932226801","001","3","4","0008010000"
"20932226805","001","3","12","0019770000"
"20932226816","001","4","12","0026360000"
"20932226808","001","5","12","0032950000"
"20932226813","001","3","12","0019770000"
"20937229208","001","7","12","0046130000"
"20907217308","001","4","1","0001820000"
"20907217308","001","3","11","0018405000"
"20906216912","001","7","12","0046130000"
"20935227605","001","3","12","0020220000"
"20935227608","001","2","12","0013080000"
"20935227613","001","7","12","0045780000"
"20935227616","001","5","12","0032700000"
"20935227612","001","3","12","0019620000"
"20935227601","001","3","12","0019620000"
"20928225512","001","6","12","0039240000"
"20928225508","001","4","12","0026160000"
"20928225505","001","4","12","0026160000"
"20928225505","003","2","12","0013080000"
"20928225516","001","2","12","0013080000"
"20915219401","001","2","12","0013480000"
"20928225513","001","4","12","0026160000"
"20928225501","001","4","12","0026160000"
"20917221805","001","2","12","0013080000"
"20917221808","001","2","12","0013080000"
"20917221813","001","3","12","0019620000"
"20917221801","001","3","12","0019620000"
"20917221812","001","3","7","0012105000"
"20917221812","001","2","5","0005110000"
"20917221816","001","3","12","0019620000"
"20916221013","001","3","12","0020220000"
"20916221001","001","3","12","0020220000"
"20916221005","001","4","12","0026360000"
"20916221008","001","4","5","0012500000"
