Address,Dycol01,Dycol03,Dycol04,Dycol05
"10001000926","001","4","12","0021840000"
"10001000923","001","4","12","0021840000"
"10001000929","001","3","12","0016380000"
"10001002123","001","2","12","0010920000"
"10001002119","001","2","12","0010920000"
"10003003323","001","4","12","0021840000"
"10011009320","001","5","12","0027300000"
"10011009329","001","3","12","0016380000"
"10005004526","001","6","12","0032760000"
"10001000922","001","2","12","0010920000"
"10001000529","001","2","12","0010920000"
"10001000513","001","5","12","0027300000"
"10001000523","001","3","12","0016380000"
"10005004513","001","3","12","0016380000"
"10005004523","001","1","12","0005460000"
"10003003329","002","2","12","0010920000"
"10006005722","001","5","12","0027300000"
"10011009316","001","3","12","0016380000"
"10005004529","001","6","12","0032760000"
"10003003326","001","3","12","0016380000"
"10001000526","001","2","12","0010920000"
"10001000519","001","4","12","0021840000"
"10001000518","001","1","12","0005460000"
"10005004519","001","3","12","0016380000"
"10001002129","001","2","12","0010920000"
"10001002116","001","2","12","0010920000"
"10001002126","001","6","12","0032760000"
"10007006923","001","3","12","0016380000"
"10007006920","001","2","12","0010920000"
"10007006926","001","3","12","0016380000"
"10007006929","001","4","12","0021840000"
"10011009323","001","4","12","0021840000"
"10011009326","001","5","12","0027300000"
"10009008120","001","4","12","0021840000"
"10009008116","001","4","12","0021840000"
"10009008129","001","5","12","0027300000"
"10001002118","001","5","12","0027300000"
"10007006918","001","2","12","0010920000"
"10011009313","001","7","12","0038220000"
"10009008126","001","4","12","0021840000"
"10001000916","001","4","12","0021840000"
"10001000913","001","4","12","0021840000"
"10001001326","001","3","12","0016380000"
"10001001313","001","3","12","0016380000"
"10001002513","001","4","12","0021840000"
"10001002520","001","3","12","0016380000"
"10006005317","001","5","12","0027300000"
"10006005326","001","4","12","0021840000"
"10007007326","001","3","12","0016380000"
"10007007320","001","2","9","0008190000"
"10007007320","001","3","12","0016380000"
"10007007323","001","4","12","0021840000"
"10007007329","001","3","12","0016380000"
"10007007316","001","4","12","0021840000"
"10004003720","001","2","12","0010920000"
"10001002529","001","3","12","0016380000"
"10004003716","001","3","12","0016380000"
"10004003729","001","2","12","0010920000"
"10004003723","001","2","12","0010920000"
"10004003726","001","5","12","0027300000"
"10004003713","001","2","12","0010920000"
"10001002523","001","1","12","0005460000"
"10001002526","001","4","12","0021840000"
"10001001316","001","4","12","0021840000"
"10007007313","001","3","12","0016380000"
"10003003314","001","2","12","0010920000"
"10003003315","001","2","12","0010920000"
"10006005726","001","3","12","0016380000"
"10006005723","001","2","12","0010920000"
"10006005723","003","1","12","0005460000"
"10006005717","001","1","12","0005460000"
"10005004516","001","4","12","0021840000"
"10006005729","001","2","12","0010920000"
"10006005713","001","4","12","0021840000"
"10004004126","001","3","12","0016380000"
"10004004122","001","5","12","0027300000"
"10010008913","001","2","12","0010920000"
"10010008929","001","3","12","0016380000"
"10010008923","001","3","12","0016380000"
"10004004114","001","1","7","0003185000"
"10004004114","001","4","12","0021840000"
"10010008926","001","4","12","0021840000"
"10010008921","001","4","12","0021840000"
"10010008523","001","3","12","0016380000"
"10010008526","001","3","12","0016380000"
"10010008529","001","4","12","0021840000"
"10010008521","001","4","12","0021840000"
"10006005324","001","3","12","0016380000"
"10006005323","001","6","12","0032760000"
"10006005316","001","3","12","0016380000"
"10002002926","001","1","12","0005460000"
"10002002921","001","4","12","0021840000"
"10006006526","001","4","12","0021840000"
"10006006529","001","1","12","0005460000"
"10009007713","001","2","12","0010920000"
"10001001713","001","2","12","0010920000"
"10012009723","001","3","12","0016380000"
"10012009726","001","2","12","0010920000"
"10010008516","001","4","12","0021840000"
"10001000123","001","4","12","0021840000"
"10001000129","001","1","12","0005460000"
"10001000126","001","1","12","0005460000"
"10001000120","001","2","12","0010920000"
"10001000116","001","3","12","0016380000"
"10001000117","001","2","12","0010920000"
"10001001329","001","4","12","0021840000"
"10001001323","001","4","12","0021840000"
"10009007716","001","5","12","0027300000"
"10012009720","001","4","12","0021840000"
"10010008914","001","3","12","0016380000"
"10006005329","001","3","12","0016380000"
"10002002913","001","2","12","0010920000"
"10002002914","001","2","12","0010920000"
"10002002929","001","4","12","0021840000"
"10002002919","001","3","12","0016380000"
"10006006524","002","2","12","0010920000"
"10009007726","001","5","12","0027300000"
"10006006518","001","3","12","0016380000"
"10001001723","001","6","12","0032760000"
"10009007723","001","4","12","0021840000"
"10001001726","001","4","12","0021840000"
"10001001716","001","3","12","0016380000"
"10001001720","001","4","12","0021840000"
"10001001729","001","3","12","0016380000"
"10012009729","001","4","12","0021840000"
"10004004129","001","3","12","0016380000"
"10004004123","001","3","12","0016380000"
"10001001322","001","3","12","0016380000"
"10009007720","001","4","12","0021840000"
"10006006514","001","2","12","0010920000"
"10010008513","001","5","12","0027300000"
"10009007729","001","4","12","0021840000"
"10006006520","001","3","12","0016380000"
"10004004117","001","2","12","0010920000"
"10009008123","001","7","12","0038220000"
"10005004923","001","4","12","0021840000"
"10006006120","001","6","12","0032760000"
"10006006123","001","5","12","0027300000"
"10012009716","001","4","12","0021840000"
"10012009713","001","04","12","0021840000"
"10006006116","001","4","12","0021840000"
"10001002516","001","4","12","0021840000"
"10006006113","001","2","12","0010920000"
"10006006129","001","2","12","0010920000"
"10005004920","001","4","12","0021840000"
"10005004917","001","1","12","0005460000"
"10005004929","001","2","12","0010920000"
"10005004926","001","2","12","0010920000"
"10005004913","001","4","12","0021840000"
"10006006126","001","3","12","0016380000"
"10007006917","001","3","12","0016380000"
"10104026721","001","1","12","0005460000"
"10104026713","001","3","12","0016380000"
"10101024329","001","1","12","0005460000"
"10103025526","001","4","12","0021840000"
"10105028315","001","3","12","0016380000"
"10105027929","001","2","12","0010920000"
"10105027926","001","2","12","0010920000"
"10105027926","002","1","12","0005460000"
"10105027923","001","1","12","0005460000"
"10105027121","001","1","12","0005460000"
"10105027121","002","1","12","0005460000"
"10104026726","001","4","12","0021840000"
"10101024720","001","1","12","0005460000"
"10113032723","001","1","12","0005460000"
"10113032720","001","1","12","0005460000"
"10111031929","001","2","12","0010920000"
"10106029126","001","2","12","0010920000"
"10106029126","003","2","12","0010920000"
"10103025520","001","3","12","0016380000"
"10106029129","001","3","12","0016380000"
"10101024326","001","3","12","0016380000"
"10101024326","004","1","12","0005460000"
"10101024326","005","1","12","0005460000"
"10101024326","006","1","12","0005460000"
"10103025519","001","3","12","0016380000"
"10103025920","001","3","12","0016380000"
"10104026723","001","2","12","0010920000"
"10105027115","001","2","12","0010920000"
"10105027913","001","2","12","0010920000"
"10105027916","001","2","12","0010920000"
"10105027916","003","1","12","0005460000"
"10105027916","004","3","12","0016380000"
"10106029120","001","4","12","0021840000"
"10108030329","001","3","12","0016380000"
"10110031521","001","5","12","0027300000"
"10111031926","001","3","12","0016380000"
"10113032726","001","4","12","0021840000"
"10107029513","001","4","12","0021840000"
"10115033123","001","3","12","0016380000"
"10108030320","001","2","12","0010920000"
"10105028316","001","4","12","0021840000"
"10106029117","001","3","12","0016380000"
"10107029926","001","5","12","0027300000"
"10107029913","001","4","12","0021840000"
"10105028323","001","2","12","0010920000"
"10107029519","001","3","12","0016380000"
"10107029526","001","4","12","0021840000"
"10115033124","001","4","12","0021840000"
"10112032316","001","4","12","0021840000"
"10105027513","001","2","12","0010920000"
"10102025116","001","2","12","0010920000"
"10108030314","001","5","12","0027300000"
"10102025121","001","5","12","0027300000"
"10104026729","001","5","12","0027300000"
"10105027114","001","3","12","0016380000"
"10105027516","001","4","12","0021840000"
"10102025123","001","4","12","0021840000"
"10112032329","001","1","12","0005460000"
"10107029920","001","4","12","0021840000"
"10107029921","001","2","12","0010920000"
"10105027129","001","1","12","0005460000"
"10105027129","002","1","12","0005460000"
"10102025114","001","3","12","0016380000"
"10116033523","001","4","12","0021840000"
"10110031529","001","4","12","0021840000"
"10110031129","001","4","12","0021840000"
"10105027119","001","1","12","0005460000"
"10105027519","001","3","12","0016380000"
"10108030326","001","3","12","0016380000"
"10110031115","001","1","12","0005460000"
"10110031120","001","3","12","0016380000"
"10112032315","001","2","12","0010920000"
"10110031126","001","4","12","0021840000"
"10112032321","001","3","12","0016380000"
"10109030720","001","3","12","0016380000"
"10113032729","001","1","12","0005460000"
"10102025126","001","2","12","0010920000"
"10102025126","003","1","12","0005460000"
"10109030714","001","4","12","0021840000"
"10109030714","004","1","12","0005460000"
"10108030323","001","2","12","0010920000"
"10111031921","001","4","12","0021840000"
"10113032716","001","2","12","0010920000"
"10103025926","001","3","12","0016380000"
"10105028726","001","2","12","0010920000"
"10111031924","001","4","12","0021840000"
"10113032713","001","3","12","0016380000"
"10106029122","001","4","12","0021840000"
"10112032319","001","4","12","0021840000"
"10110031516","001","1","12","0005460000"
"10104026715","001","5","12","0027300000"
"10101024713","001","6","12","0032760000"
"10109030729","001","4","12","0021840000"
"10116033529","001","2","12","0010920000"
"10101024319","001","1","12","0005460000"
"10101024323","001","5","12","0027300000"
"10105028723","001","1","2","0000910000"
"10105028723","001","2","12","0010920000"
"10105028720","001","4","12","0021840000"
"10105028720","005","1","12","0005460000"
"10105028716","001","1","12","0005460000"
"10105028713","001","5","12","0027300000"
"10101024716","001","5","12","0027300000"
"10104026329","001","6","12","0032760000"
"10103025929","001","5","12","0027300000"
"10102025129","001","2","12","0010920000"
"10104026319","001","3","12","0016380000"
"10104026313","001","3","12","0016380000"
"10105027920","001","3","12","0016380000"
"10108030315","001","1","6","0002730000"
"10108030315","001","3","12","0016380000"
"10105027521","001","2","12","0010920000"
"10101024723","001","4","12","0021840000"
"10101024723","005","1","12","0005460000"
"10101024726","001","4","12","0021840000"
"10104026326","001","1","12","0005460000"
"10105027526","001","2","12","0010920000"
"10105027529","001","2","12","0010920000"
"10105028329","001","4","12","0021840000"
"10105028326","001","2","12","0010920000"
"10105028729","001","3","12","0016380000"
"10107029529","001","5","12","0027300000"
"10107029929","001","4","12","0021840000"
"10109030723","001","3","12","0016380000"
"10109030726","001","3","12","0016380000"
"10115033118","001","2","12","0010920000"
"10115033126","001","1","8","0003640000"
"10115033126","001","2","12","0010920000"
"10116033519","001","3","12","0016380000"
"10112032326","001","3","12","0016380000"
"10103025513","001","4","12","0021840000"
"10103025516","001","1","12","0005460000"
"10110031526","001","2","12","0010920000"
"10104026323","001","3","12","0016380000"
"10103025529","001","4","12","0021840000"
"10111031916","001","2","12","0010920000"
"10110031116","001","4","12","0021840000"
"10110031520","001","2","12","0010920000"
"10110031518","001","5","12","0027300000"
"10103025913","001","1","12","0005460000"
"10103025913","002","2","12","0010920000"
"10115033114","001","4","12","0021840000"
"10107029517","001","4","12","0021840000"
"10115033129","001","2","12","0010920000"
"10104026315","001","3","12","0016380000"
"10103025916","001","3","12","0016380000"
