Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"20013024125","01",,,,"0006000000",,
"20001010532","01","0036000000",,,,,"0015000000"
"20007018334","01",,,,"0008000000",,
"20001010530","01","0000000001",,,"0007500000",,
"20001010525","01",,"0145500000",,,,
"20007018332","01",,,,"0008000000",,"0010000000"
"20001010522","01",,"0065000000",,,,
"20007018329","01",,,,"0020000000",,"0020000000"
"20006017025","01",,,,"0006000000",,
"20006017032","01","0005200000","0010000000",,,,
"20001011829","01",,,"0086400000","0012000000",,"0036000000"
"20004014332","01",,,,,,"0012000000"
"20006017027","01",,,,"0004800000",,"0005000000"
"20001011025","01",,,"0097500000",,,
"20006017024","01",,,,,,"0240000000"
"20004014334","01",,"0020400000",,,,
"20001011823","02",,,,,"0005000000",
"20012021734","01",,,,,"0050000000",
"20004014324","01","0115000000",,,,,
"20001011834","02",,,,,"0007000000",
"20006015823","01",,,,,,"0084000000"
"20010020332","01","0108000000",,,,,
"20010020327","01","0186000000",,,,,
"20010020323","01",,,,,,"0015000000"
"20003013020","01",,,,"0006000000",,
"20003013019","01",,"0120000000",,,,
"20003013034","01",,,,"0006500000",,
"20012022925","01",,,,,,"0032000000"
"20001010134","03",,,,"0007500000",,
"20002012219","03",,,,"0006000000",,
"20006015520","01",,,,,,"0020000000"
"20006015532","01",,,,,"0006000000",
"20001010120","03",,,,"0007500000",,
"20006015526","03",,,,"0003600000",,
"20005015332","02",,,,,"0030000000",
"20010020320","01","0126000000",,,,,
"20001010129","01",,,,,"0015500000","0025000000"
"20003012634","01",,"0050000000",,,,"0006000000"
"20010020329","01","0126800000",,,,,
"20004014730","01",,,,"0006000000",,
"20007017432","01",,,,,,"0015000000"
"20001011020","01",,"0005000000",,,,
"20011021234","01",,,,,,"0030000000"
"20010019929","01","0132000000",,,,,
"20004013420","05",,,,"0004800000",,
"20010019922","01",,,,"0007800000",,
"20007017428","02",,,,,,"0003000000"
"20007017428","03",,,,"0006000000",,"0003000000"
"20007017428","04",,,,"0006000000",,
"20007017920","01",,,,"0010000000",,"0010000000"
"20002012224","01","0150800000",,,,,
"20011021232","01",,,,"0004800000",,
"20004013432","01",,"0006000000",,,,"0010000000"
"20011021224","03",,,,"0006000000",,
"20004013425","01",,,,"0007200000",,
"20004014732","01",,,,"0006000000",,
"20004014734","03",,,,"0006000000",,
"20007018734","01",,,,"0006850000",,
"20007017420","01",,"0040000000",,,,
"20004014720","01",,,,,,"0072000000"
"20010019934","01",,,,"0012000000",,
"20007018727","01",,,,,,"0005000000"
"20004014729","01",,,,,,"0040000000"
"20007017932","01",,,,"0030000000",,
"20007017923","01",,,,"0010000000",,"0020000000"
"20009019529","01",,,,"0009600000",,"0010000000"
"20009019532","01",,,,"0007000000",,
"20010020334","01","0145700000",,,,,
"20002012234","01",,,,,,"0040000000"
"20002012232","01",,,,"0006500000",,
"20006016229","01",,,,,,"0084000000"
"20006016234","01",,,,,,"0036000000"
"20012021729","01",,,,"0006200000",,
"20013024122","01",,,,,,"0035000000"
"20013024122","03","0004000000",,,,,
"20009019525","01","0030000000",,,,,"0005000000"
"20011020834","01",,"0041200000",,,,
"20012021720","01",,,"0150000000",,,"0020000000"
"20006015825","01","0115000000",,,,,
"20001011029","01",,,,"0006500000",,
"20004013423","01",,,,"0006500000",,
"20003012626","01","0036000000",,,,,
"20006016632","01",,,,,,"0007000000"
"20006016634","01",,,,,,"0035000000"
"20003012627","01",,"0100000000","0010000000",,,
"20004013429","01",,,,"0007800000",,
"20003012632","01",,,,"0004800000",,"0012000000"
"20001010823","01","0155000000",,,,,
"20001010834","01",,,,,,"0015000000"
"20004013434","01","0183000000",,,,,
"20011021225","01",,,,"0006000000",,"0010000000"
"20012022120","01",,,,"0005400000",,"0001000000"
"20013023329","05","0002800000",,,,,
"20013023325","01",,,,,,"0008000000"
"20012022129","01",,,,,,"0015000000"
"20012022125","01",,,,,,"0010000000"
"20013023332","02",,,,,,"0018000000"
"20012022132","01",,,,,,"0010000000"
"20009019132","01",,,,"0012000000",,"0010000000"
"20004013834","01","0047460000",,,,,
"20004013825","01",,,"0096000000",,,
"20006015524","01",,"0050000000",,,,"0024000000"
"20006016220","01",,"0050000000",,,,
"20006016219","01",,"0100000000",,,,
"20004013827","01",,,,,,"0004000000"
"20004013819","01","0102800000",,,,,
"20012022134","01",,,,"0005400000",,"0006000000"
"20013023320","01",,"0070000000",,,,"0020000000"
"20107038734","01",,"0020000000",,,,
"20107038734","03",,,,,,"0001000000"
"20107038734","04",,,,,,"0001000000"
"20107038729","01",,,,,,"0025000000"
"20103035134","01",,,,"0007200000",,
"20109039934","01",,"0010400000",,"0005400000",,
"20109039923","01","0132800000","0016000000",,,,
"20103035121","01",,,,"0006500000",,"0060000000"
"20109039932","01","0137360055",,,,,
"20103035120","01","0040400000",,,,,
"20109040334","01",,,,"0006500000",,"0024000000"
"20109040330","01",,,,"0008400000",,"0005000000"
"20109040325","01",,"0003500000",,"0004800000",,"0002000000"
"20104035529","01",,,,"0008400000",,
"20104035529","03",,,,,,"0000500000"
"20104035529","04",,,,,,"0000300000"
"20101033924","01",,,,,"0006000000",
"20101033924","03",,,,,,"0000800000"
"20101033924","04",,,,,,"0000750000"
"20101033924","05",,,,,,"0001000000"
"20113042826","01",,"0045000000",,,,"0010000000"
"20113042819","01",,,,"0007800000",,"0005000000"
"20113042823","01",,,,"0007800000",,
"20106037925","01",,,,"0006000000",,"0003600000"
"20114043626","03",,,,,,"0000600000"
"20114043626","04",,,,,,"0000600000"
"20115044021","01","0102800000",,,,,
"20115044021","02","0105200000",,,,,
"20102034332","01",,,,"0007200000",,
"20106037920","01",,,,"0007200000",,"0002000000"
"20101033934","04",,,,,,"0000700000"
"20110040622","03",,,,,,"0000500000"
"20110040622","04",,,,,,"0000500000"
"20108039134","01",,,,"0072000000",,
"20108039134","02",,,,,,"0000700000"
"20108039129","01",,,,"0006360000",,
"20108039123","01",,,,"0007200000",,
"20105036719","03",,,,,,"0000700000"
"20105036719","04",,,,,,"0000800000"
"20105036732","01",,,,,"0002500000","0030000000"
"20105036734","01",,,,,"0007000000","0000500000"
"20105036734","03",,,,,,"0001000000"
"20112042420","01",,,,"0007200000",,
"20111041629","03",,,,,,"0000500000"
"20111041629","04",,,,,,"0000600000"
"20105036723","01",,"0015000000",,,,
"20105036723","03",,,,,,"0001000000"
"20105036723","04",,,,,,"0001000000"
"20108039520","01",,,,"0005400000",,
"20108039520","03",,,,,,"0000700000"
"20108039520","04",,,,,,"0001500000"
"20112042432","01",,"0032500000",,,,
"20102034320","01",,"0009000000",,,,
"20108039532","01",,"0024000000",,"0007200000","0003000000",
"20110041225","01",,,,"0007200000",,
"20111041626","01",,,,"0006600000",,
"20111041626","04",,,,,,"0001000000"
"20110041224","01",,,,,"0002000000",
"20110041224","04",,,,,,"0000400000"
"20115044025","01",,,,,"0010000000",
