id,area,year,decile,raw_income,price_index,adjusted_income
1,urban,80,1,650274,9.427,6897995.12
2,urban,80,2,3329540,9.427,35319189.56
3,urban,80,3,5559898,9.427,58978444.89
4,urban,80,4,7488298,9.427,79434581.52
5,urban,80,5,9384212,9.427,99546112.23
6,urban,80,6,11320461,9.427,120085509.7
7,urban,80,7,13596507,9.427,144229415.5
8,urban,80,8,16638407,9.427,176497369.3
9,urban,80,9,21462553,9.427,227671083.1
10,urban,80,10,44177420,9.427,468626498.4
11,urban,81,1,771856,10.915,7071516.262
12,urban,81,2,4218705,10.915,38650526.8
13,urban,81,3,7126582,10.915,65291635.36
14,urban,81,4,9563714,10.915,87619917.54
15,urban,81,5,11900938,10.915,109032872.2
16,urban,81,6,14482503,10.915,132684406.8
17,urban,81,7,17365545,10.915,159097984.4
18,urban,81,8,21136675,10.915,193647961.5
19,urban,81,9,27279571,10.915,249927356.8
20,urban,81,10,58696505,10.915,537760009.2
21,urban,82,1,816474,12.624,6467633.08
22,urban,82,2,4883630,12.624,38685282
23,urban,82,3,8315756,12.624,65872591.89
24,urban,82,4,11372813,12.624,90088822.88
25,urban,82,5,14428627,12.624,114295207.5
26,urban,82,6,17472823,12.624,138409561.2
27,urban,82,7,20785014,12.624,164646815.6
28,urban,82,8,25355684,12.624,200853010.1
29,urban,82,9,32686884,12.624,258926520.9
30,urban,82,10,71802857,12.624,568780552.9
31,urban,83,1,30715,14.544,211186.7437
32,urban,83,2,6258030,14.544,43028259.08
33,urban,83,3,10582161,14.544,72759632.84
34,urban,83,4,14340763,14.544,98602605.89
35,urban,83,5,17887589,14.544,122989473.3
36,urban,83,6,21473063,14.544,147642072.3
37,urban,83,7,25530485,14.544,175539638.3
38,urban,83,8,30942893,14.544,212753664.7
39,urban,83,9,39944776,14.544,274647799.8
40,urban,83,10,83613369,14.544,574899401.8
41,urban,84,1,1218082,16.048,7590241.775
42,urban,84,2,6725408,16.048,41908075.77
43,urban,84,3,11768483,16.048,73333019.69
44,urban,84,4,16193353,16.048,100905739
45,urban,84,5,20341109,16.048,126751676.2
46,urban,84,6,25070803,16.048,156223847.2
47,urban,84,7,30409785,16.048,189492678.2
48,urban,84,8,37002795,16.048,230575741.5
49,urban,84,9,47494044,16.048,295949925.2
50,urban,84,10,94733511,16.048,590313503.2
51,urban,85,1,2561982,17.955,14268905.6
52,urban,85,2,9222259,17.955,51363180.17
53,urban,85,3,14965882,17.955,83352169.31
54,urban,85,4,19917542,17.955,110930337
55,urban,85,5,24828623,17.955,138282500.7
56,urban,85,6,29903537,17.955,166547128.9
57,urban,85,7,35632731,17.955,198455756.1
58,urban,85,8,43287659,17.955,241089718.7
59,urban,85,9,54984804,17.955,306236725.1
60,urban,85,10,119864695,17.955,667583932.1
61,urban,86,1,2843373,21.265,13371140.37
62,urban,86,2,10747519,21.265,50540884.08
63,urban,86,3,18072268,21.265,84985976.96
64,urban,86,4,24466054,21.265,115053157.8
65,urban,86,5,30124585,21.265,141662755.7
66,urban,86,6,36041057,21.265,169485337.4
67,urban,86,7,42612199,21.265,200386546
68,urban,86,8,51083125,21.265,240221608.3
69,urban,86,9,64518094,21.265,303400395
70,urban,86,10,129403604,21.265,608528586.9
71,urban,87,1,1769895,26.66,6638765.941
72,urban,87,2,11948735,26.66,44818960.99
73,urban,87,3,20542675,26.66,77054294.82
74,urban,87,4,27596530,26.66,103512865.7
75,urban,87,5,33586468,26.66,125980750.2
76,urban,87,6,39386035,26.66,147734564.9
77,urban,87,7,46584846,26.66,174736856.7
78,urban,87,8,55500005,26.66,208177063
79,urban,87,9,69291780,26.66,259909152.3
80,urban,87,10,138106404,26.66,518028522.1
81,urban,88,1,1726815,29.527,5848257.527
82,urban,88,2,11310817,29.527,38306692.18
83,urban,88,3,20282883,29.527,68692664.34
84,urban,88,4,28485183,29.527,96471646.29
85,urban,88,5,36359134,29.527,123138598.6
86,urban,88,6,44357714,29.527,150227635.7
87,urban,88,7,52389234,29.527,177428231.8
88,urban,88,8,62417290,29.527,211390557.8
89,urban,88,9,77573225,29.527,262719629.5
90,urban,88,10,142238812,29.527,481724564
91,urban,89,1,2988078,33.188,9003489.213
92,urban,89,2,16410156,33.188,49446052.79
93,urban,89,3,27267077,33.188,82159446.19
94,urban,89,4,36617369,33.188,110333159.6
95,urban,89,5,45158062,33.188,136067440
96,urban,89,6,53368409,33.188,160806342.7
97,urban,89,7,62614432,33.188,188665879.2
98,urban,89,8,74156072,33.188,223442425
99,urban,89,9,91336021,33.188,275207969.7
100,urban,89,10,163027198,33.188,491223327.7
101,urban,90,1,13593321,40.321,33712757.62
102,urban,90,2,31363073,40.321,77783470.15
103,urban,90,3,44700701,40.321,110862084.3
104,urban,90,4,55693836,40.321,138126127.8
105,urban,90,5,65192594,40.321,161683971.1
106,urban,90,6,74736447,40.321,185353654.4
107,urban,90,7,85442094,40.321,211904699.8
108,urban,90,8,98824350,40.321,245093995.7
109,urban,90,9,118985092,40.321,295094595.9
110,urban,90,10,191835013,40.321,475769482.4
111,urban,91,1,19830059,52.635,37674663.25
112,urban,91,2,41336717,52.635,78534657.55
113,urban,91,3,57498489,52.635,109240028.5
114,urban,91,4,69771442,52.635,132557123.6
115,urban,91,5,80814272,52.635,153537136.9
116,urban,91,6,91881935,52.635,174564329.8
117,urban,91,7,104312899,52.635,198181626.3
118,urban,91,8,119666502,52.635,227351575.9
119,urban,91,9,144257790,52.635,274071986.3
120,urban,91,10,250233186,52.635,475412151.6
121,urban,92,1,23167239,70.916,32668564.22
122,urban,92,2,50322285,70.916,70960410.91
123,urban,92,3,70018798,70.916,98734838.4
124,urban,92,4,84252861,70.916,118806561.3
125,urban,92,5,97024438,70.916,136816004.9
126,urban,92,6,109845568,70.916,154895324
127,urban,92,7,124276267,70.916,175244327.1
128,urban,92,8,143023989,70.916,201680846.4
129,urban,92,9,174758516,70.916,246430306.3
130,urban,92,10,294226734,70.916,414894712.1
131,urban,93,1,24219113,81.948,29554245.38
132,urban,93,2,55441672,81.948,67654698.1
133,urban,93,3,78430942,81.948,95708183.24
134,urban,93,4,95988596,81.948,117133543.2
135,urban,93,5,111427028,81.948,135972846.2
136,urban,93,6,128027635,81.948,156230335.1
137,urban,93,7,147662829,81.948,180190888.1
138,urban,93,8,173044593,81.948,211163900.3
139,urban,93,9,211476509,81.948,258061830.7
140,urban,93,10,355439419,81.948,433737759.3
141,urban,94,1,26920455,91.714,29352612.47
142,urban,94,2,62198385,91.714,67817765.01
143,urban,94,3,89820279,91.714,97935188.74
144,urban,94,4,110544492,91.714,120531753.1
145,urban,94,5,128984965,91.714,140638250.4
146,urban,94,6,149044315,91.714,162509884
147,urban,94,7,172441375,91.714,188020776.5
148,urban,94,8,201742021,91.714,219968620.9
149,urban,94,9,244751275,91.714,266863592.3
150,urban,94,10,402088507,91.714,438415625.7
151,urban,95,1,22809382,100,22809382
152,urban,95,2,64232527,100,64232527
153,urban,95,3,94967445,100,94967445
154,urban,95,4,119391179,100,119391179
155,urban,95,5,140727168,100,140727168
156,urban,95,6,164814313,100,164814313
157,urban,95,7,192698534,100,192698534
158,urban,95,8,226310242,100,226310242
159,urban,95,9,278765357,100,278765357
160,urban,95,10,466921530,100,466921530
